Cook Islands,484.06,482.89,504.40,660.93,790.26,792.09,768.96,923.33,1110.22,1303.45,1467.69,1527.58,1529.07,1502.36,1550.24,1613.68,2079.84,2700.16,3331.45,3413.24,3831.92,4085.79,4185.61,4629.91,5452.04,5786.31,5854.30,5427.11,4779.87,5149.35,5140.36,5345.57,6073.68,8174.01,9358.03,9410.68,9557.04,11478.26,11662.59,10725.71,12652.99,14192.81,14917.73
Costa Rica,686.79,733.03,823.22,993.23,1057.52,1214.14,1455.99,1805.61,2014.83,2244.85,2614.02,1380.54,1333.65,1565.66,1771.41,1846.98,2018.17,2021.99,2004.60,2212.32,2356.32,2269.47,2651.44,2909.84,3111.03,3368.38,3320.92,3507.12,3759.31,4111.77,4058.09,4087.11,4114.60,4199.71,4379.15,4621.37,5128.40,5897.53,6582.79,6385.57,7773.19,8660.59,9387.02
C�te d'Ivoire,286.33,291.04,325.73,421.87,486.73,589.44,674.05,865.73,1043.94,1155.47,1231.08,977.11,840.34,728.56,700.14,686.91,868.64,923.04,906.08,914.90,981.60,920.27,929.11,833.82,602.52,781.08,829.61,779.29,818.90,794.91,662.16,681.63,740.45,905.19,965.59,982.23,978.10,1097.33,1274.96,1238.79,1207.83,1241.58,1230.17
Croatia,,,,,,,,,,,,,,,,,,,,,3411.39,2784.16,2522.43,2688.18,3621.98,4711.14,5022.61,5130.92,5543.37,5114.96,4808.25,5183.96,5992.85,7739.92,9319.56,10212.50,11386.09,13580.00,15959.74,14299.54,13576.51,14289.44,13104.61
Cuba,653.24,779.56,901.37,1088.44,1224.41,1380.26,1444.87,1474.64,1837.76,2003.29,2024.68,2038.21,2110.00,2226.12,2397.09,2270.12,2378.93,2451.27,2641.24,2572.87,2702.19,2275.93,2052.99,2066.92,2615.02,2783.43,2278.29,2300.95,2326.17,2555.07,2744.12,2835.08,2995.90,3192.40,3388.77,3776.47,4666.99,5185.38,5382.82,5499.12,5701.96,6164.52,6300.84
Cyprus,926.78,1072.32,1289.73,1552.14,1677.97,1450.58,1691.44,2157.50,2810.78,3655.98,4384.47,4178.89,4286.02,4235.61,4400.45,4625.57,5841.69,6923.97,7904.05,8321.96,9970.82,10024.22,11704.10,10893.19,12012.38,14091.04,14025.53,13137.80,13930.00,14145.95,13226.52,13687.69,14711.77,18255.98,21218.47,22298.45,23876.49,27685.92,31689.63,29265.48,28680.32,29208.25,26462.41
Czech Republic,,,,,,,,,,,,,,,,,,,,,3412.84,2678.40,3177.23,3796.48,4444.43,5589.00,6283.53,5766.95,6205.65,6053.08,5736.64,6291.97,7678.17,9338.88,11165.58,12713.37,14440.43,17458.16,21651.01,18804.03,18807.96,20361.93,18428.26
Czechoslovakia (Former),1134.72,1180.94,1346.18,1581.21,1685.44,1846.17,1806.98,2570.95,2811.14,3000.99,3125.21,3304.86,3321.19,3290.90,2969.31,2965.42,3474.89,3895.08,3843.54,3762.97,3562.93,,,,,,,,,,,,,,,,,,,,,,
D.P.R. of Korea,384.16,412.61,443.47,477.41,515.26,557.86,571.45,587.07,604.12,621.64,638.90,653.10,807.72,793.92,744.51,722.44,804.89,836.26,763.83,810.78,734.86,662.64,593.08,503.24,384.46,222.25,478.79,461.77,455.51,451.79,461.96,476.13,467.98,470.98,472.98,547.86,574.90,596.85,550.75,494.38,569.84,637.70,582.63
D.R. of the Congo,150.37,163.63,175.72,218.11,258.97,268.78,246.28,306.23,422.44,402.56,374.27,322.26,313.19,258.84,151.71,158.00,177.63,147.30,163.76,268.22,267.94,246.87,217.50,272.76,142.63,134.33,133.92,134.79,138.24,120.67,112.18,109.48,111.98,111.24,124.05,133.10,156.22,174.21,198.38,184.29,212.09,251.10,286.48
Denmark,3365.14,3732.60,4528.05,5973.53,6616.49,7822.84,8597.69,9586.98,11606.55,13513.18,13605.88,11780.79,11504.79,11565.79,11282.73,11969.29,16888.83,20984.89,22108.78,21456.16,26426.13,26520.50,29043.87,27092.23,29473.21,34779.14,35101.50,32299.93,32772.78,32699.81,29987.48,29969.24,32386.05,39500.00,45332.13,47561.87,50428.39,56957.41,62568.20,56213.06,56411.65,59853.25,56252.62
Djibouti,413.50,440.54,500.60,588.17,687.50,698.75,751.97,725.32,716.28,784.62,838.38,852.45,867.47,858.04,882.00,870.71,876.95,838.56,824.78,787.81,774.53,761.15,765.19,751.15,782.60,767.52,734.54,714.00,711.15,753.29,769.00,787.07,800.84,831.11,869.98,912.50,976.00,1061.64,1212.86,1276.65,1353.19,1461.94,1583.06
Dominica,324.22,359.84,385.89,443.24,529.70,555.98,538.03,592.98,727.95,707.35,938.85,1051.06,1146.81,1279.25,1448.43,1601.69,1836.17,2077.37,2428.81,2629.25,2820.94,2994.77,3232.30,3367.49,3611.74,3673.83,3972.87,4143.56,4415.76,4582.14,4656.01,4750.53,4683.99,4864.17,5217.94,5126.02,5484.56,5915.36,6475.93,6870.44,6766.40,6939.68,6958.17
Dominican Republic,405.00,441.84,512.78,589.08,716.13,858.84,919.83,1042.21,1050.38,1191.63,1403.82,1503.33,1610.29,1704.37,2001.41,848.70,1005.26,920.32,822.71,1161.74,1295.30,1315.46,1495.63,1664.43,1773.40,1945.30,2090.97,2329.91,2429.52,2514.08,2730.48,2785.70,2788.15,2209.67,2344.01,3578.05,3774.50,4259.24,4636.43,4702.93,5089.47,5462.70,5731.24
Ecuador,329.08,306.03,348.10,449.53,651.79,736.56,884.36,1077.72,1207.05,1437.79,1756.74,2035.63,1970.77,1763.40,1760.11,2108.54,1452.19,1323.82,1228.51,1176.59,1249.99,1343.28,1414.12,1563.16,1886.59,2007.85,2070.30,2253.57,2172.52,1547.00,1461.62,1914.45,2191.01,2442.27,2704.67,3012.75,3337.40,3574.88,4255.85,4236.78,4636.69,5232.67,5647.64
Egypt,224.06,232.27,243.16,247.57,286.69,314.12,363.34,454.60,544.85,355.29,447.77,291.36,332.18,390.43,436.26,468.91,477.59,517.86,551.26,592.29,637.92,683.07,784.45,853.51,938.51,1075.03,1190.55,1292.86,1359.87,1411.82,1446.76,1349.98,1266.74,1066.88,1121.77,1315.96,1476.10,1780.49,2183.60,2448.42,2749.00,2912.39,3154.91
El Salvador,90.56,92.74,96.30,108.57,125.45,139.21,173.59,213.62,224.89,247.14,251.75,240.31,245.54,274.17,310.61,376.84,513.00,593.12,692.51,804.80,898.33,978.93,1080.48,1239.52,1424.09,1652.83,1776.47,1901.65,2037.04,2102.40,2204.17,2307.77,2381.16,2495.56,2611.16,2814.93,3042.76,3283.53,3483.70,3341.33,3444.46,3698.55,3789.57
Equatorial Guinea,69.68,73.87,73.24,97.61,109.10,141.50,153.23,175.99,203.96,230.94,243.85,217.55,239.57,249.21,231.92,256.56,303.62,354.01,364.58,311.67,356.34,341.02,400.52,391.04,280.18,376.54,599.85,1116.07,906.44,1469.64,2272.24,3170.64,3784.01,4843.11,8147.74,11936.60,13760.71,16949.17,22110.78,14962.49,17792.02,18920.32,19680.28
Eritrea,,,,,,,,,,,,,,,,,,,,,103.28,117.08,131.40,151.01,187.40,187.72,215.48,219.66,220.62,209.12,179.31,183.43,170.34,194.58,237.71,226.29,240.55,252.98,256.44,334.06,368.75,439.71,506.94
Estonia,,,,,,,,,,,,,,,,,,,,,3544.57,3411.65,2800.45,2755.20,2816.31,3053.32,3336.11,3603.54,4037.67,4152.11,4157.71,4600.21,5434.90,7350.27,9033.03,10492.17,12744.03,16746.22,18162.08,14901.70,14666.41,17414.45,17335.31
Ethiopia,,,,,,,,,,,,,,,,,,,,,233.29,257.04,198.54,138.36,129.48,133.05,140.03,140.66,123.92,114.22,121.63,117.18,109.95,117.44,134.15,159.70,191.38,236.10,309.95,332.33,302.10,335.00,453.57
Ethiopia (Former),84.70,87.15,92.36,103.74,113.62,110.55,117.96,132.10,138.62,149.92,156.38,159.86,160.06,169.87,194.39,220.47,223.02,230.95,217.21,215.98,227.19,250.72,196.33,140.42,,,,,,,,,,,,,,,,,,,
Fiji,427.92,469.12,588.68,775.92,998.12,1198.11,1195.25,1214.83,1374.51,1657.06,1913.15,1917.64,1804.64,1655.07,1698.79,1619.50,1814.62,1648.97,1552.07,1749.82,1854.56,1901.63,2080.62,2190.81,2408.91,2592.52,2717.99,2700.79,2117.03,2462.07,2122.62,2083.08,2307.38,2894.23,3401.20,3655.47,3746.71,4075.92,4301.59,3432.10,3747.84,4324.86,4571.94
Finland,2436.17,2677.49,3136.54,4121.33,5233.27,6181.10,6657.49,6985.03,7542.41,9224.40,11091.53,10788.20,10810.89,10360.99,10681.55,11215.18,14694.76,18238.52,21644.75,23509.53,27852.17,25011.43,21881.88,17256.51,19783.15,25606.48,25031.44,23922.92,25180.71,25232.25,23528.28,24023.41,25996.72,31506.46,36161.49,37316.86,39475.45,46507.06,51139.37,44795.27,44098.36,48670.43,45741.00
France,2823.74,3131.19,3810.36,4915.07,5261.86,6587.01,6766.16,7436.17,9138.17,11014.76,12513.08,10915.20,10305.42,9812.86,9246.29,9576.20,13288.92,15989.61,17344.24,17353.57,21333.90,21254.40,23326.36,21943.72,23048.38,26378.25,26291.20,23671.09,24362.14,24040.80,21770.33,21818.67,23493.21,28760.00,32727.15,33764.56,35411.31,40295.34,43938.96,40424.85,39361.62,42452.57,39617.34
